"","CPG","WEIGHT","P","gene","TRAIT"
"114","cg20344448",0.017,1.57e-25,"FRMD4A","mSmoking"
"116","cg17924476",0.019,2.24e-25,"AHRR","mSmoking"
"117","cg00253658",0.039,4.42e-25,"-","mSmoking"
"120","cg13834112",0.021,1.02e-24,"-","mSmoking"
"123","cg04598670",-0.024,4.62e-24,"-","mSmoking"
"127","cg10520740",-0.01,3.43e-23,"CACNA2D4","mSmoking"
"130","cg04358214",0.03,1.11e-22,"C16orf70","mSmoking"
"137","cg04535902",-0.024,5.82e-22,"GFI1","mSmoking"
"138","cg11207515",-0.024,1.5e-21,"CNTNAP2","mSmoking"
"141","cg01970407",0.014,3.81e-21,"AHRR","mSmoking"
"143","cg20806180",0.009,5.89e-21,"MGAT3","mSmoking"
"146","cg08097581",-0.01,1.57e-20,"AKAP8L","mSmoking"
"147","cg05923197",0.03,1.64e-20,"BMP4","mSmoking"
"149","cg05928290",0.025,1.82e-20,"BMP4","mSmoking"
"155","cg12806681",-0.01,4.66e-20,"AHRR","mSmoking"
"158","cg18132363",-0.022,7.89e-20,"-","mSmoking"
"159","cg15578140",0.016,8.71e-20,"MIR548F3;CNTNAP2","mSmoking"
"164","cg15892280",-0.012,1.35e-19,"ETS2","mSmoking"
"168","cg14736365",0.021,1.99e-19,"-","mSmoking"
"170","cg17852385",0.015,4.26e-19,"CYP1A1","mSmoking"
"171","cg05593775",0.017,4.31e-19,"PDZD7","mSmoking"
"172","cg26703534",-0.01,4.82e-19,"AHRR","mSmoking"
"174","cg26652413",0.006,9e-19,"CPAMD8","mSmoking"
"178","cg00213123",0.012,1.78e-18,"CYP1A1","mSmoking"
"181","cg16517298",-0.022,2.94e-18,"GALNT2","mSmoking"
"182","cg23335299",0.024,3.19e-18,"-","mSmoking"
"186","cg18493761",0.023,4.93e-18,"-","mSmoking"
"191","cg03144619",-0.028,7.52e-18,"GALNT2","mSmoking"
"193","cg10253847",0.011,8.03e-18,"NKAPL","mSmoking"
"195","cg10312186",-0.016,1.06e-17,"-","mSmoking"
"199","cg09367901",0.019,2.01e-17,"BMP4","mSmoking"
"204","cg13547053",0.012,5.46e-17,"OSBPL6","mSmoking"
"205","cg19727396",-0.02,5.56e-17,"GALNT2","mSmoking"
"208","cg02227813",0.017,8.37e-17,"SAMD3","mSmoking"
"215","cg15325070",0.013,1.6e-16,"-","mSmoking"
"216","cg20244340",-0.012,1.73e-16,"SLC24A3","mSmoking"
"221","cg25325512",-0.021,3.16e-16,"PIM1","mSmoking"
"227","cg18694169",0.016,5.03e-16,"NKAPL","mSmoking"
"228","cg05697274",-0.015,5.07e-16,"GALNT2","mSmoking"
"231","cg07738730",-0.02,6.05e-16,"IGF2BP1","mSmoking"
"232","cg10145533",0.02,6.2e-16,"-","mSmoking"
"236","cg08698721",0.012,8.73e-16,"MEG3","mSmoking"
"239","cg18675097",0.024,1.38e-15,"NKAPL","mSmoking"
"245","cg17401179",-0.021,2.13e-15,"AHRR","mSmoking"
"246","cg11625488",-0.016,2.51e-15,"-","mSmoking"
"248","cg07104557",-0.013,3.14e-15,"C7orf50","mSmoking"
"249","cg24591105",-0.019,3.68e-15,"GALNT2","mSmoking"
"251","cg24250902",-0.026,3.98e-15,"GALNT2","mSmoking"
"252","cg04459939",0.024,4.27e-15,"-","mSmoking"
"256","cg25415695",0.014,4.74e-15,"-","mSmoking"
"260","cg27520536",0.009,6.58e-15,"-","mSmoking"
"261","cg23414595",-0.013,7.2e-15,"ZMAT5","mSmoking"
"262","cg23849826",0.009,9.02e-15,"THBS1","mSmoking"
"266","cg22171758",0.015,1.14e-14,"-","mSmoking"
"270","cg17369032",0.014,1.57e-14,"NGFR","mSmoking"
"271","cg16254309",-0.003,1.63e-14,"CNTNAP2","mSmoking"
"274","cg03687532",0.013,2.07e-14,"-","mSmoking"
"275","cg10187927",0.014,2.11e-14,"TGFBI","mSmoking"
"280","cg14565151",0.015,2.97e-14,"USP44","mSmoking"
"281","cg22510139",-0.011,3.03e-14,"PRDM16","mSmoking"
"284","cg04955573",-0.014,3.21e-14,"GFI1","mSmoking"
"285","cg01031101",0.017,3.46e-14,"NKAPL","mSmoking"
"287","cg12054698",0.025,3.69e-14,"GBP1","mSmoking"
"288","cg02583484",-0.006,3.75e-14,"HNRNPA1;HNRPA1L-2","mSmoking"
"290","cg14251267",-0.023,4.23e-14,"ZBTB46","mSmoking"
"292","cg00709966",-0.011,4.34e-14,"-","mSmoking"
"293","cg18625289",-0.011,4.72e-14,"MBD3","mSmoking"
"294","cg16449012",0.014,5.31e-14,"FAM184B","mSmoking"
"298","cg14807565",0.011,7.83e-14,"-","mSmoking"
"302","cg27211576",-0.01,9.21e-14,"CSK","mSmoking"
"309","cg27191921",-0.009,1.32e-13,"CYB5R3","mSmoking"
"312","cg23351584",0.008,1.4e-13,"PRSS23","mSmoking"
"313","cg13876650",-0.007,1.55e-13,"FAM54B","mSmoking"
"316","cg01825213",0.019,1.74e-13,"-","mSmoking"
"321","cg21322436",-0.007,2.4e-13,"CNTNAP2","mSmoking"
"322","cg19572487",-0.011,2.42e-13,"RARA","mSmoking"
"330","cg12492906",-0.014,3.58e-13,"SSH1","mSmoking"
"337","cg20816447",-0.02,3.9e-13,"CC2D2A","mSmoking"
"339","cg19631472",-0.009,4.91e-13,"LDHA","mSmoking"
"340","cg09578155",-0.008,4.99e-13,"LRP5","mSmoking"
"341","cg12883279",0.02,5.01e-13,"PPT2;PRRT1","mSmoking"
"342","cg02973307",-0.015,5.29e-13,"KCTD15","mSmoking"
"344","cg16451324",-0.011,5.95e-13,"PDE1A","mSmoking"
"347","cg18183624",-0.02,6.24e-13,"IGF2BP1","mSmoking"
"349","cg12436196",-0.02,6.36e-13,"PRDM16","mSmoking"
"350","cg04640109",0.007,6.57e-13,"ZFPM2","mSmoking"
"354","cg10078511",0.013,8.16e-13,"THBS1","mSmoking"
"356","cg15159987",-0.008,8.95e-13,"CPAMD8","mSmoking"
"358","cg11641006",0.017,1.02e-12,"-","mSmoking"
"361","cg05204104",0.02,1.06e-12,"ARL4C","mSmoking"
"363","cg04488758",0.012,1.12e-12,"USP44","mSmoking"
"364","cg04291079",0.011,1.27e-12,"MEG3","mSmoking"
"366","cg27100916",0.016,1.41e-12,"USP44","mSmoking"
"367","cg26746573",-0.007,1.41e-12,"-","mSmoking"
"368","cg00624799",-0.008,1.42e-12,"ZNF710","mSmoking"
"369","cg12160087",-0.009,1.47e-12,"CCDC64","mSmoking"
"374","cg13784312",-0.014,1.81e-12,"RAPGEF1","mSmoking"
"378","cg18473733",-0.007,2.04e-12,"KLF2","mSmoking"
"379","cg15016771",0.016,2.14e-12,"ARL4C","mSmoking"
"380","cg05634495",0.015,2.34e-12,"-","mSmoking"
"382","cg21253335",0.015,2.5e-12,"-","mSmoking"
"383","cg21013431",0.021,2.88e-12,"-","mSmoking"
"386","cg03796381",0.012,3.01e-12,"-","mSmoking"
"387","cg27434149",0.024,3.03e-12,"-","mSmoking"
"390","cg04359840",-0.013,3.63e-12,"XYLT1","mSmoking"
"395","cg13279811",-0.013,3.9e-12,"-","mSmoking"
"396","cg15963463",-0.009,4.12e-12,"RUNX3","mSmoking"
"398","cg23664708",-0.01,4.62e-12,"SLC16A3","mSmoking"
"400","cg00589617",-0.014,4.68e-12,"GALNT2","mSmoking"
"401","cg23838231",0.011,4.92e-12,"-","mSmoking"
"405","cg23458168",0.015,5.29e-12,"ZNF536","mSmoking"
"407","cg03453449",0.015,5.55e-12,"USP44","mSmoking"
"410","cg11210343",-0.014,5.84e-12,"METAP2","mSmoking"
"411","cg07996594",-0.007,6.14e-12,"RUNX3","mSmoking"
"419","cg01899089",-0.009,8.58e-12,"AHRR","mSmoking"
"423","cg14816825",0.009,1.03e-11,"-","mSmoking"
"427","cg10788371",-0.007,1.11e-11,"LRRC32","mSmoking"
"428","cg14316231",-0.012,1.12e-11,"MYST3","mSmoking"
"431","cg01668281",-0.01,1.18e-11,"CLDN14","mSmoking"
"432","cg14540913",0.011,1.23e-11,"PRRX2","mSmoking"
"435","cg00794911",-0.009,1.29e-11,"-","mSmoking"
"437","cg27248887",-0.011,1.38e-11,"EEF1B2;SNORD51;NDUFS1","mSmoking"
"440","cg03351487",0.014,1.48e-11,"STK39","mSmoking"
"441","cg26827653",0.01,1.51e-11,"FEZ1","mSmoking"
"445","cg08327367",0.011,1.63e-11,"LRP4","mSmoking"
"446","cg06753281",-0.007,1.71e-11,"KCNAB2","mSmoking"
"452","cg00306311",0.009,2.24e-11,"FAM184B","mSmoking"
"461","cg12036877",-0.012,3.09e-11,"BGLAP","mSmoking"
"464","cg06501366",0.019,3.24e-11,"BHMT2;DMGDH","mSmoking"
"467","cg13810723",-0.012,3.31e-11,"SRRM4","mSmoking"
"468","cg03400060",0.012,3.34e-11,"BHMT2;DMGDH","mSmoking"
"470","cg26729380",-0.01,3.56e-11,"TNF","mSmoking"
"473","cg01418153",-0.01,3.62e-11,"PRDM16","mSmoking"
"474","cg07565956",-0.006,3.63e-11,"ZBTB4","mSmoking"
"480","cg24019564",-0.008,3.91e-11,"RUNX3","mSmoking"
"483","cg10136560",0.016,4.21e-11,"MAML3","mSmoking"
"488","cg03278643",0.01,4.69e-11,"EVC2","mSmoking"
"495","cg16235197",-0.011,5.19e-11,"CUX2","mSmoking"
"498","cg22057874",0.011,5.76e-11,"OSBPL6","mSmoking"
"499","cg01856384",0.019,5.83e-11,"-","mSmoking"
"502","cg25311470",-0.009,6.29e-11,"NRCAM","mSmoking"
"505","cg00930606",-0.008,6.42e-11,"PATZ1","mSmoking"
"506","cg14563637",0.014,6.61e-11,"-","mSmoking"
"507","cg22441770",-0.008,6.78e-11,"CRTC2","mSmoking"
"511","cg20457732",0.022,7.16e-11,"-","mSmoking"
"513","cg05757757",0.012,7.31e-11,"-","mSmoking"
"520","cg23266546",0.009,8.13e-11,"-","mSmoking"
"521","cg24230340",-0.009,8.35e-11,"HTRA2;AUP1","mSmoking"
"522","cg00190355",0.018,8.68e-11,"SLC9A3","mSmoking"
"524","cg05697249",0.011,9.03e-11,"C11orf52","mSmoking"
"526","cg05348875",-0.026,9.91e-11,"NRP2","mSmoking"
"527","cg02532700",-0.011,1.01e-10,"NCF4","mSmoking"
"533","cg16884222",-0.009,1.13e-10,"NEAT1","mSmoking"
"534","cg17242664",0.009,1.14e-10,"EVC2","mSmoking"
"535","cg09726279",-0.006,1.16e-10,"MYBBP1A","mSmoking"
"539","cg08046044",0.005,1.19e-10,"BMP4","mSmoking"
"543","cg07340025",0.015,1.2e-10,"-","mSmoking"
"544","cg12478185",-0.013,1.2e-10,"C17orf48;SCO1","mSmoking"
"547","cg04208124",0.008,1.22e-10,"AHNAK","mSmoking"
"548","cg16436711",0.012,1.23e-10,"-","mSmoking"
"549","cg06230839",0.014,1.24e-10,"-","mSmoking"
"551","cg22877366",-0.014,1.31e-10,"-","mSmoking"
"553","cg26954197",0.006,1.36e-10,"AHRR","mSmoking"
"557","cg22481770",0.009,1.51e-10,"-","mSmoking"
"558","cg21488617",0.007,1.53e-10,"DNALI1","mSmoking"
"560","cg15522425",0.01,1.6e-10,"-","mSmoking"
"562","cg22698028",-0.011,1.65e-10,"AHRR","mSmoking"
"568","cg21498471",-0.01,1.79e-10,"NUDT19","mSmoking"
"569","cg04145264",-0.009,1.8e-10,"NEAT1","mSmoking"
"575","cg13934406",0.019,1.91e-10,"PPT2;PRRT1","mSmoking"
"577","cg10673740",0.009,1.92e-10,"BAG3","mSmoking"
"581","cg15959363",0.012,2.03e-10,"C4orf32","mSmoking"
"585","cg14585415",0.008,2.19e-10,"PDZD7","mSmoking"
"589","cg22851561",-0.011,2.28e-10,"C14orf43","mSmoking"
"590","cg14086013",0.01,2.34e-10,"MDFI","mSmoking"
"596","cg23949925",-0.006,2.47e-10,"LRP5","mSmoking"
"598","cg07466788",-0.005,2.52e-10,"SLC16A3","mSmoking"
"601","cg09368188",0.018,2.53e-10,"KIF26B","mSmoking"
"606","cg22308949",-0.015,2.61e-10,"NRP2","mSmoking"
"607","cg26038465",0.014,2.61e-10,"MAFF","mSmoking"
"614","cg22879583",-0.009,2.82e-10,"FDXACB1;C11orf1","mSmoking"
"615","cg26003909",0.01,2.89e-10,"-","mSmoking"
"616","cg27063372",-0.011,2.91e-10,"NHLRC4","mSmoking"
"621","cg23928512",-0.01,3.07e-10,"ASPSCR1","mSmoking"
"623","cg05755354",0.006,3.27e-10,"FRMD4A","mSmoking"
"624","cg27207079",0.009,3.3e-10,"-","mSmoking"
"625","cg16547579",-0.011,3.32e-10,"SLC23A2","mSmoking"
"626","cg22151881",-0.01,3.34e-10,"LRP5","mSmoking"
"627","cg03474926",-0.005,3.36e-10,"RALGDS","mSmoking"
"629","cg13928411",0.007,3.46e-10,"VWA3A","mSmoking"
"632","cg07815521",-0.01,3.79e-10,"MIR641;AKT2","mSmoking"
"636","cg14154859",-0.011,3.89e-10,"MARK1","mSmoking"
"637","cg00526336",-0.007,3.98e-10,"GALNT2","mSmoking"
"640","cg06415891",0.016,4.05e-10,"-","mSmoking"
"641","cg08262220",-0.018,4.08e-10,"PRDM16","mSmoking"
"642","cg01272202",-0.006,4.1e-10,"MCC","mSmoking"
"646","cg07638500",-0.01,4.23e-10,"MYLK","mSmoking"
"648","cg03274456",0.013,4.27e-10,"AHNAK","mSmoking"
"651","cg10980495",-0.016,4.36e-10,"HCCA2;CTSD","mSmoking"
"652","cg00871371",-0.009,4.37e-10,"SEPT9","mSmoking"
"653","cg17384889",0.009,4.39e-10,"NKAPL","mSmoking"
"654","cg25879142",0.014,4.39e-10,"-","mSmoking"
"666","cg13184736",-0.011,4.84e-10,"GNG12","mSmoking"
"667","cg14157435",-0.027,4.88e-10,"NRP2","mSmoking"
"668","cg07506749",0.009,4.94e-10,"-","mSmoking"
"669","cg09614479",0.015,5.03e-10,"-","mSmoking"
"670","cg06397161",-0.008,5.04e-10,"SYNGR1","mSmoking"
"673","cg08644678",0.007,5.11e-10,"FAM184B","mSmoking"
"677","cg06813382",0.014,5.22e-10,"-","mSmoking"
"684","cg16611234",-0.008,6.01e-10,"-","mSmoking"
"689","cg20427144",-0.008,6.27e-10,"FBXL18","mSmoking"
"690","cg19243826",0.007,6.32e-10,"PTGER1","mSmoking"
"691","cg11138362",-0.01,6.7e-10,"PRDM16","mSmoking"
"694","cg11527913",-0.021,7.04e-10,"GALNT2","mSmoking"
"695","cg10672681",0.017,7.05e-10,"ABHD10","mSmoking"
"697","cg04645050",0.017,7.07e-10,"-","mSmoking"
"701","cg06814287",0.012,7.33e-10,"PPT2;PRRT1","mSmoking"
"703","cg04749507",0.009,7.49e-10,"PPT2;PRRT1","mSmoking"
"704","cg07313882",-0.007,7.54e-10,"TMC6","mSmoking"
"707","cg04149015",0.013,7.76e-10,"PRSS36","mSmoking"
"708","cg25426302",0.02,7.88e-10,"PPT2;PRRT1","mSmoking"
"711","cg17798563",0.008,8.09e-10,"ZIK1","mSmoking"
"713","cg21524538",-0.007,8.19e-10,"SDCBP2","mSmoking"
"719","cg13370427",-0.008,8.76e-10,"ADSL","mSmoking"
"724","cg09989681",-0.007,9.43e-10,"LSP1","mSmoking"
"726","cg25943096",0.012,9.54e-10,"MIR574;FAM114A1","mSmoking"
"728","cg24552015",-0.007,9.92e-10,"LSP1","mSmoking"
"732","cg22122862",-0.007,1e-09,"PRDM16","mSmoking"
"734","cg19107504",0.01,1.02e-09,"LDB3","mSmoking"
"735","cg14183922",-0.007,1.03e-09,"SEPT9","mSmoking"
"739","cg06635952",0.011,1.05e-09,"ANXA4","mSmoking"
"742","cg17298279",-0.005,1.08e-09,"TMEM181","mSmoking"
"747","cg26608174",0.007,1.15e-09,"MIR196A1","mSmoking"
"752","cg25383593",0.006,1.21e-09,"-","mSmoking"
"755","cg13496492",0.006,1.25e-09,"PRRX2","mSmoking"
"759","cg12073319",-0.008,1.29e-09,"FGFBP2","mSmoking"
"761","cg18509466",-0.006,1.3e-09,"PRDM16","mSmoking"
"762","cg12741639",-0.006,1.31e-09,"CYTH4","mSmoking"
"763","cg10241809",-0.005,1.32e-09,"SLC16A3","mSmoking"
"764","cg07946633",-0.006,1.33e-09,"FLJ42875;PRDM16","mSmoking"
"768","cg00174179",-0.006,1.35e-09,"RHOA;TCTA","mSmoking"
"773","cg01815912",-0.006,1.4e-09,"NTHL1","mSmoking"
"774","cg02264407",-0.011,1.41e-09,"LMO7","mSmoking"
"776","cg08328513",0.018,1.43e-09,"BHMT2;DMGDH","mSmoking"
"777","cg13822849",0.005,1.44e-09,"OLFM1","mSmoking"
"783","cg25216300",-0.006,1.51e-09,"-","mSmoking"
"784","cg22902505",-0.026,1.51e-09,"PRDM8","mSmoking"
"786","cg20146909",-0.007,1.55e-09,"LRRC8D","mSmoking"
"787","cg19648306",0.01,1.55e-09,"OSBPL6","mSmoking"
"788","cg01902605",0.013,1.58e-09,"BHMT2;DMGDH","mSmoking"
"791","cg06070002",0.006,1.6e-09,"PRDX1","mSmoking"
"792","cg21962791",0.011,1.61e-09,"PYROXD1","mSmoking"
"795","cg21649604",-0.006,1.65e-09,"RPL3;RNU86","mSmoking"
"797","cg18825427",-0.009,1.66e-09,"-","mSmoking"
"805","cg06686709",0.008,1.77e-09,"CACNB4","mSmoking"
"806","cg19286437",0.012,1.78e-09,"LDB3","mSmoking"
"807","cg07069636",-0.007,1.78e-09,"-","mSmoking"
"808","cg24693803",-0.009,1.79e-09,"-","mSmoking"
"809","cg01731783",-0.006,1.79e-09,"C14orf43","mSmoking"
"810","cg26405475",0.008,1.81e-09,"-","mSmoking"
"811","cg12206103",0.006,1.81e-09,"MESP2","mSmoking"
"812","cg00433296",0.011,1.84e-09,"SLC39A14","mSmoking"
"813","cg23727072",0.006,1.86e-09,"CYP1A1","mSmoking"
"814","cg02303258",0.008,1.87e-09,"-","mSmoking"
"818","cg25688583",0.015,1.89e-09,"TCF12","mSmoking"
"819","cg25122233",0.014,1.91e-09,"HOXC4;HOXC5;HOXC6","mSmoking"
"820","cg18040788",-0.01,1.94e-09,"-","mSmoking"
"823","cg10002066",-0.005,2.04e-09,"RASA3","mSmoking"
"824","cg13951797",-0.01,2.05e-09,"TRAF7","mSmoking"
"825","cg14016344",0.011,2.07e-09,"CD72","mSmoking"
"827","cg06235438",-0.004,2.08e-09,"ITGAL","mSmoking"
"833","cg02019125",0.009,2.14e-09,"-","mSmoking"
"834","cg15920975",-0.01,2.15e-09,"-","mSmoking"
"835","cg20017995",-0.007,2.17e-09,"SNORD24;SNORD36B;MED22;RPL7A;SNORD36A","mSmoking"
"838","cg17580614",0.009,2.21e-09,"ADORA2B","mSmoking"
"839","cg11201532",-0.002,2.21e-09,"MFNG","mSmoking"
"841","cg27597505",0.017,2.28e-09,"-","mSmoking"
"843","cg21171625",0.007,2.32e-09,"DNALI1","mSmoking"
"850","cg24469742",0.008,2.38e-09,"STARD13","mSmoking"
"852","cg20124610",-0.008,2.39e-09,"CARS2","mSmoking"
"856","cg00176638",0.018,2.51e-09,"KDM5B","mSmoking"
"862","cg03354508",0.009,2.59e-09,"-","mSmoking"
"863","cg20649298",0.017,2.59e-09,"C20orf56","mSmoking"
"865","cg12398314",0.01,2.61e-09,"-","mSmoking"
"866","cg04821520",0.013,2.63e-09,"-","mSmoking"
"869","cg21251018",0.016,2.74e-09,"NKAPL","mSmoking"
"872","cg25162921",0.012,2.77e-09,"MTAP","mSmoking"
"873","cg00159523",-0.016,2.77e-09,"TCF7L2","mSmoking"
"874","cg16894855",-0.011,2.78e-09,"CAMK1D","mSmoking"
"875","cg25863735",0.008,2.81e-09,"ADAL","mSmoking"
"880","cg08142858",0.007,2.87e-09,"-","mSmoking"
"881","cg11845417",0.008,2.92e-09,"C11orf52","mSmoking"
"887","cg15986668",-0.013,3.01e-09,"NFYC;LOC100130557","mSmoking"
"889","cg08951051",0.016,3.03e-09,"-","mSmoking"
"893","cg13064789",0.01,3.1e-09,"-","mSmoking"
"897","cg07448928",0.007,3.21e-09,"AHRR","mSmoking"
"901","cg05648472",-0.007,3.34e-09,"PRDM11","mSmoking"
"903","cg02165330",-0.009,3.36e-09,"SIAE;SPA17","mSmoking"
"905","cg07465627",-0.009,3.42e-09,"STXBP4","mSmoking"
"907","cg07742396",-0.007,3.49e-09,"-","mSmoking"
"908","cg18303477",0.008,3.52e-09,"-","mSmoking"
"909","cg27446137",0.017,3.55e-09,"-","mSmoking"
"911","cg03239580",-0.006,3.62e-09,"CYP21A2","mSmoking"
"912","cg04495354",0.01,3.62e-09,"PLLP","mSmoking"
"916","cg07954706",-0.007,3.75e-09,"AMPD2","mSmoking"
"919","cg12055515",-0.011,3.84e-09,"MEIS1","mSmoking"
"921","cg16994941",0.007,3.87e-09,"-","mSmoking"
"924","cg07452706",-0.006,3.95e-09,"NUDT14","mSmoking"
"925","cg10583997",-0.009,3.96e-09,"BIRC6","mSmoking"
"926","cg15073784",0.007,3.99e-09,"-","mSmoking"
"931","cg03340878",-0.012,4.02e-09,"OR2B6","mSmoking"
"932","cg09293391",0.009,4.05e-09,"PLAGL1","mSmoking"
"934","cg10681065",-0.009,4.08e-09,"TFR2","mSmoking"
"940","cg18739367",0.006,4.17e-09,"-","mSmoking"
"942","cg18444875",0.014,4.23e-09,"OXR1","mSmoking"
"948","cg17361896",-0.012,4.45e-09,"HSPA12B","mSmoking"
"949","cg16459265",-0.009,4.46e-09,"C7orf40;SNORA9","mSmoking"
"951","cg06255037",0.008,4.47e-09,"CHADL","mSmoking"
"956","cg02380135",-0.013,4.6e-09,"KIF5C","mSmoking"
"962","cg09006487",-0.009,4.85e-09,"RYBP","mSmoking"
"963","cg12626589",0.014,4.85e-09,"PPT2;PRRT1","mSmoking"
"965","cg03384915",-0.007,4.92e-09,"SIN3B","mSmoking"
"966","cg20426710",-0.009,4.97e-09,"ZBED4","mSmoking"
"974","cg24999973",-0.013,5.37e-09,"CAMTA1","mSmoking"
"977","cg16255816",-0.005,5.46e-09,"HAP1","mSmoking"
"986","cg13969674",0.008,5.62e-09,"CPA2","mSmoking"
"996","cg06321596",-0.012,5.92e-09,"XYLT1","mSmoking"
"998","cg24960291",-0.009,5.94e-09,"IGF2BP2","mSmoking"
"999","cg21789008",-0.01,5.95e-09,"-","mSmoking"
"1002","cg11731671",-0.02,6.06e-09,"PRDM16","mSmoking"
"1004","cg02063817",-0.014,6.1e-09,"-","mSmoking"
"1008","cg02283735",0.013,6.21e-09,"PTPRF","mSmoking"
"1010","cg23034373",-0.01,6.28e-09,"CLDN14","mSmoking"
"1011","cg08383929",0.015,6.29e-09,"-","mSmoking"
"1015","cg12065616",0.01,6.46e-09,"-","mSmoking"
"1016","cg22894329",-0.008,6.55e-09,"LPCAT1","mSmoking"
"1017","cg15437741",-0.008,6.56e-09,"SLC16A3","mSmoking"
"1018","cg09677268",0.013,6.56e-09,"ZSCAN1","mSmoking"
"1019","cg02892925",0.015,6.57e-09,"TOX","mSmoking"
"1023","cg07013258",0.006,6.78e-09,"BCL7C","mSmoking"
"1024","cg18818075",-0.009,6.84e-09,"-","mSmoking"
"1026","cg04638150",0.014,6.93e-09,"AHNAK","mSmoking"
"1031","cg01055594",0.009,7.2e-09,"WDR35","mSmoking"
"1032","cg06360776",-0.012,7.23e-09,"ZNF747","mSmoking"
"1033","cg12561474",0.005,7.25e-09,"NGFR","mSmoking"
"1037","cg14712058",-0.006,7.49e-09,"SIN3B","mSmoking"
"1039","cg23690166",0.012,7.56e-09,"MIR196A1","mSmoking"
"1041","cg07211044",0.017,7.62e-09,"TOX","mSmoking"
"1043","cg03773820",-0.009,7.63e-09,"MCPH1","mSmoking"
"1044","cg05779272",-0.005,7.71e-09,"B4GALT1","mSmoking"
"1047","cg24657523",0.009,7.78e-09,"MYEF2","mSmoking"
"1048","cg13922488",-0.005,7.81e-09,"PKN1","mSmoking"
"1049","cg19474546",0.013,7.82e-09,"-","mSmoking"
"1050","cg05174975",-0.009,7.83e-09,"RPL23","mSmoking"
"1051","cg27133224",-0.004,7.98e-09,"SCAMP2","mSmoking"
"1059","cg10841124",0.005,8.47e-09,"AHRR","mSmoking"
"1062","cg26441486",-0.012,8.69e-09,"CRELD2","mSmoking"
"1063","cg05677062",-0.008,8.72e-09,"SETD8","mSmoking"
"1064","cg12374579",-0.008,8.72e-09,"ASPSCR1","mSmoking"
"1065","cg20816361",0.013,8.79e-09,"-","mSmoking"
"1066","cg17892069",-0.007,8.85e-09,"AUTS2","mSmoking"
"1067","cg18182566",-0.007,8.88e-09,"MTA1","mSmoking"
"1072","cg09941601",0.006,9e-09,"-","mSmoking"
"1075","cg17783244",-0.009,9.08e-09,"PATZ1","mSmoking"
"1077","cg01416295",-0.008,9.26e-09,"MRPL24","mSmoking"
